total_cost,info_gain,modality
20,0.06122849865102028,DEMONSTRATION
30,0.15104855038695664,PREFERENCE
40,0.22643609888509905,PREFERENCE
55,0.3160249141474056,CORRECTION
60,0.38994724942558934,BINARY
80,0.423755065352842,DEMONSTRATION
90,0.4802742329590214,PREFERENCE
105,0.54035839271886,CORRECTION
110,0.5787949614573005,BINARY
120,0.6344898977905192,PREFERENCE
