total_cost,info_gain,modality
20,0.0983128066528181,DEMONSTRATION
30,0.11208605659235898,PREFERENCE
40,0.1277243339743466,PREFERENCE
55,0.20309470570670413,CORRECTION
60,0.24336178301534567,BINARY
80,0.3325931562758454,DEMONSTRATION
90,0.34613306153287093,PREFERENCE
105,0.3587282778591927,CORRECTION
110,0.4165331904330036,BINARY
120,0.4432704027978178,PREFERENCE
